title,company,site,it_role_type,city,final_tech_stack
iOS Developer,VNPAY,ITViec,Mobile Developer,Hà Nội,"Xcode, Swift"
5 Fullstack Dev,LEAP,ITViec,Full-stack Developer,Hồ Chí Minh,"Java, Agile, Javascript, Html/Css"
Mid/Senior Frontend Developer,"Local Life Technology Ltd.,",ITViec,Frontend Developer,Đà Nẵng,"Typescript, Css"
Atlassian ITSM Development Engineer,TymeX,ITViec,ITSM Development Engineer,Hồ Chí Minh,"Agile, Python"
Junior QC Engineer,Fastboy Marketing,ITViec,QA Engineer,Hồ Chí Minh,Agile
"Senior Officer, User Experience Research",Techcombank,ITViec,Other IT Role,Hà Nội,Agile
Senior/Lead Software Engineer,EUROFINS GSC IT VIETNAM COMPANY LIMITED,ITViec,Software Engineer,Hồ Chí Minh,"C#, Sql, Agile"
Backend Server Developer,Công ty TNHH Marketing Metas Group,ITViec,Backend Developer,Hà Nội,"C#, Sql"
Data Engineer,SmartOSC,ITViec,Data Engineer,Hà Nội,"Java, Sql, Python"
Senior Full-stack Developer,CODE88 COMPANY LIMITED,ITViec,Full-stack Developer,Hồ Chí Minh,"Java, Javascript, Sql"
iOS Developer,Samsung Electronics HCMC CE Complex,ITViec,Mobile Developer,Hồ Chí Minh,"Xcode, Swift, Kotlin"
Remote - Games Developer,Goodia Việt Nam,ITViec,Game Developer,Hồ Chí Minh,C#
Web Developer,eUp Group,ITViec,Frontend Developer,Hà Nội,"Css3, Html5, Typescript, Javascript"
Flutter Developer,Công ty cổ phần Piscale,ITViec,Flutter Developer,Hà Nội,"Agile, React, Dart"
Senior QC Executive,HSC,ITViec,Senior QA Engineer,Hồ Chí Minh,"Typescript, Docker, Javascript, Aws, Java, Agile"
Senior Backend,Joblogic,ITViec,Backend Developer,Hồ Chí Minh,"Aws, C#, Sql, Agile"
Principal Engineer,Timo,ITViec,Principal Engineer,Hồ Chí Minh,"Java, Agile"
Senior/Lead Backend Engineer,GHN,ITViec,Backend Developer,Hồ Chí Minh,"Sql, Docker, Aws, React, Golang, Agile"
Backend Technical Lead,TymeX,ITViec,Backend Technical Lead,Hồ Chí Minh,"Java, Aws, Agile"
Backend Engineer,Trusting Social,ITViec,Backend Developer,Hồ Chí Minh,"Sql, Javascript, Go, React, Python, C#"
Senior AI Engineer,Renn Labs,ITViec,AI Engineer,Hồ Chí Minh,"Aws, Agile, React, Python"
Backend Developer,KIDO Group,ITViec,Backend Developer,Hồ Chí Minh,"Java, Node.Js, Python"
Cybersecurity Engineer,DIGI-TEXX VIETNAM,ITViec,Cybersecurity Engineer,Hồ Chí Minh,"Aws, Python"
Senior Manual QC Engineer,One Mount Group,ITViec,QA Engineer,Hà Nội,"Java, Agile, Sql"
